Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,16.740000,17.080000,15.710000,15.950000,15.890386,26031300
2020-03-04,16.190001,16.190001,15.130000,15.390000,15.332479,30188600
2020-03-05,15.000000,15.040000,14.420000,14.740000,14.684908,28694400
2020-03-06,14.260000,14.480000,12.750000,13.070000,13.021150,30003000
2020-03-09,9.740000,9.740000,7.900000,8.150000,8.119538,74704100
2020-03-10,9.490000,9.570000,7.680000,8.660000,8.627632,62821800
2020-03-11,8.130000,8.330000,7.770000,7.830000,7.800735,35888800
2020-03-12,7.150000,7.390000,6.420000,6.420000,6.396005,38621400
2020-03-13,7.320000,7.350000,6.320000,7.150000,7.123277,43906600
2020-03-16,5.960000,6.830000,5.800000,5.940000,5.917799,37973700
2020-03-17,6.130000,6.400000,5.580000,6.140000,6.117051,36224500
2020-03-18,5.590000,5.890000,4.250000,4.610000,4.592770,45137200
2020-03-19,4.780000,5.340000,4.500000,4.800000,4.782060,39826500
2020-03-20,5.130000,5.360000,4.560000,5.050000,5.031126,49166700
2020-03-23,5.200000,5.380000,4.900000,5.240000,5.220415,27219200
2020-03-24,5.920000,6.950000,5.810000,6.630000,6.605220,48419800
2020-03-25,7.520000,7.520000,6.040000,6.770000,6.744697,51372200
2020-03-26,6.880000,7.770000,6.750000,7.050000,7.023650,32866100
2020-03-27,6.570000,6.810000,6.180000,6.390000,6.366117,33438800
2020-03-30,6.300000,6.670000,6.030000,6.370000,6.346191,28100100
2020-03-31,6.800000,6.990000,6.540000,6.850000,6.824398,34498500
2020-04-01,6.610000,6.700000,6.230000,6.600000,6.575332,27200600
2020-04-02,6.810000,8.200000,6.760000,7.520000,7.491893,51270900
2020-04-03,7.830000,8.030000,7.340000,7.610000,7.581557,35876800
2020-04-06,7.830000,8.000000,7.610000,7.910000,7.880435,28269000
2020-04-07,8.550000,8.830000,7.780000,8.040000,8.009950,40153500
2020-04-08,8.300000,8.790000,8.270000,8.750000,8.717297,27550400
2020-04-09,9.620000,9.730000,7.970000,8.210000,8.179315,62400000
2020-04-13,8.550000,8.550000,7.680000,7.850000,7.820660,46429300
2020-04-14,7.860000,8.150000,7.500000,7.630000,7.601482,37407700
2020-04-15,7.150000,7.200000,6.800000,6.950000,6.924024,34865300
2020-04-16,6.980000,6.980000,6.530000,6.670000,6.645071,26960600
2020-04-17,6.900000,7.580000,6.890000,7.580000,7.551669,34351200
2020-04-20,6.900000,8.020000,6.700000,7.630000,7.601482,41649500
2020-04-21,7.310000,7.760000,7.160000,7.460000,7.432118,34791200
2020-04-22,7.850000,8.300000,7.810000,8.230000,8.199240,39622800
2020-04-23,8.600000,9.020000,8.410000,8.920000,8.886661,43765500
2020-04-24,9.190000,9.580000,8.720000,8.860000,8.826885,46136600
2020-04-27,8.500000,9.100000,8.260000,8.910000,8.876698,27910700
2020-04-28,9.290000,9.600000,9.040000,9.520000,9.484419,28508700
2020-04-29,10.160000,11.070000,10.100000,11.020000,10.978812,37511600
2020-04-30,11.100000,11.110000,10.240000,10.500000,10.460755,45373000
2020-05-01,10.180000,10.400000,9.700000,9.760000,9.723521,28085800
2020-05-04,9.230000,10.040000,9.050000,10.030000,9.992512,25440100
2020-05-05,10.620000,10.760000,9.750000,9.860000,9.823147,30398500
2020-05-06,9.780000,10.000000,9.550000,9.560000,9.524269,19837800
2020-05-07,9.790000,10.120000,9.760000,10.010000,9.972588,20163200
2020-05-08,10.280000,10.710000,10.090000,10.700000,10.660007,21303500
2020-05-11,10.480000,10.710000,10.310000,10.580000,10.540457,17674300
2020-05-12,10.700000,10.880000,10.350000,10.490000,10.450792,21854000
2020-05-13,10.350000,10.380000,9.410000,9.540000,9.504344,24155200
2020-05-14,9.250000,10.140000,9.120000,9.950000,9.912811,22312000
2020-05-15,9.870000,10.240000,9.760000,9.820000,9.783297,22989200
2020-05-18,10.540000,11.620000,10.510000,11.510000,11.466981,40093100
